"Estimate","Std. Error","z value","Pr(>|z|)"
-12.82,0.6635,-19.33,3.199e-83
0.6583,0.02057,32.01,8.729e-225
0.2715,0.0252,10.77,4.553e-27
2.694,0.1308,20.59,3.396e-94
