"Estimate","Std. Error","z value","Pr(>|z|)"
-2.567,0.2642,-9.716,2.585e-22
0.003177,0.0002233,14.23,6.124e-46
1.405,0.344,4.085,4.415e-05
-0.02784,0.002097,-13.28,3.088e-40
0.006001,0.004206,1.427,0.1537
0.004142,0.002046,2.025,0.04291
0.1519,0.01673,9.077,1.114e-19
-0.0006986,5.348e-05,-13.06,5.291e-39
0.02573,0.003404,7.559,4.053e-14
-0.4166,0.01467,-28.4,2.302e-177
0.02353,0.008762,2.686,0.007241
0.008252,0.00739,1.117,0.2641
-0.1761,0.1387,-1.27,0.2041
