"Estimate","Std. Error","z value","Pr(>|z|)"
-1.199,0.02838,-42.24,0
0.6638,0.0206,32.23,6.66e-228
0.253,0.02575,9.825,8.819e-23
2.667,0.1318,20.24,4.723e-91
